news,code
"[파주=파이낸셜뉴스 강근주 기자] 파주시는 4일 관내 취약계층 1만9379가구에 대해 정부 긴급재난지원금 입금을 완료했다.파주시민이 받는 긴급재난지원금은 ‘4인 이상 가구’ 기준으로 87만1000원을 받게 되며, 3인 가구는 69만7000원, 2인 가구 52만3000원, 1인 가구 34만8000원이다.정부가 발표한 긴급재난지원금이 파주시민에게 지급한 금액과 다른 이유는 국비-지방비 부담 비율 때문이다.파주시는 이미 모든 시민에게 ‘경기도-파주시 재난기본소득’(1인당 각 10만원)을 지급하고 있어 시민에게 국비 지원금만 지급하며 4인 가구 기준으로 총 지원 금액은 ‘파주시 재난기본소득’ 40만원, ‘경기도 재난기본소득’ 40만원, ‘정부 긴급재난지원금’ 87만1000원 등 총 167만1000원을 받게 된다.취약계층이 아닌 시민은 오는 5월11일부터 소지하고 있는 신용·체크카드사 홈페이지에서 긴급재난지원금 지원을 신청할 수 있다. 세대주가 가족 지원금을 일괄 신청해야 한다.한편 파주시는 3일 김정기 부시장을 단장으로 하는 ‘긴급재난지원금 추진 태스크포스’를 구성해 긴급재난지원금이 원활하게 지급될 수 있도록 지원한다.※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지",사회
"이천 물류창고 화재 발화지점으로 지목된 지하 2층에서 산소절단기의 산소 공급 호스가 끊어진 채 발견돼, 경찰이 폭발 가능성을 수사하고 있습니다.YTN이 확보한 현장 감식 사진을 보면, 산소절단기와 연결된 산소 공급 호스가 날카롭게 절단돼 있었습니다.이에 전문가들은 산소 공급 호스가 ""기계적 충격에 의해 절단이 됐고, 실제 산소가 샜다면 폭발이 일어날 수 있다""는 의견을 제시했습니다.지하 2층에선 이 밖에도 전동절단기와 그라인더 등 불꽃을 발생시킬 수 있는 작업 도구가 다수 나와 경찰이 집중 분석하고 있습니다.경찰은 또 건물 옆에서 우레탄을 혼합해 작업 현장으로 보내는 차량을 발견해, 화재 당시 우레탄폼 발포 작업과 함께 불꽃이 튀는 화기 작업이 동시에 진행됐는지를 조사하고 있습니다.※ '당신의 제보가 뉴스가 됩니다' YTN은 여러분의 소중한 제보를 기다립니다.[카카오톡] YTN을 검색해 채널 추가 [전화] 02-398-8585 [메일] social@ytn.co.kr [온라인 제보] www.ytn.co.kr[저작권자(c) YTN & YTN PLUS 무단전재 및 재배포 금지]",사회
"[의정부=파이낸셜뉴스 강근주 기자] 황범순 의정부시 부시장은 4일 시공 중인 을지대학교 의정부캠퍼스 및 부속병원 공사현장에 방문해 긴급 안전점검을 진행했다.이번 긴급점검은 4월29일 경기도 이천시 물류창고 신축공사장 화재 참사와 관련해, 의정부에도 유사한 사례가 발생하지 않도록 사전 대비 차원에서 이뤄졌다. 특히 의정부소방서, 고용노동청 의정부지청도 동행해 소방법과 산업보건법 준수 여부 및 공사 전반적인 추진상황을 점검했다.합동점검반은 우레탄폼 발포와 용접, 금속류 절단 등 화재발생 빈도가 높은 작업 등에 대한 소방안전 관리와 밀폐된 공간의 화제 위험요소, 임시소방시설 설치 등 환경 의무사항 이행 여부 등을 집중 살펴봤다.황범순 부시장은 현장관계자들 노고를 격려하며 “항상 경각심을 갖고 화재 및 재난 예방에 만전을 다해 달라”며 “코로나 19와 관련해 건설현장 종사자 간 ‘사회적 거리두기’ 방역지침도 준수해 달라”고 요청했다.※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지",사회
귀갓길 여성을 쫓아가 성범죄를 시도한 20대 남성이 구속됐습니다.서울 강남경찰서는 강간상해 혐의로 20대 A씨를 구속해 수사 중이라고 오늘(6일) 밝혔습니다.A씨는 지난달 30일 새벽 서울 강남구에서 귀가하던 피해 여성을 근처 지하철역에서부터 따라가 성폭행을 시도하려다 도망간 혐의를 받습니다.A씨는 피해 여성의 신고를 받고 주변을 수색하던 경찰에 붙잡혔습니다.이 과정에서 피해 여성은 경미한 부상을 입은 것으로 전해졌습니다.경찰은 A씨를 상대로 범행 경위 등을 추가 조사한 뒤 조만간 검찰에 넘길 방침입니다.안희재 기자(an.heejae@sbs.co.kr)※ ⓒ SBS & SBS Digital News Lab. : 무단복제 및 재배포 금지,사회
"(서울=연합뉴스) 대한약사회가 6일부터 코로나바이러스 감염증 대응 체계를 '사회적 거리두기'에서 '생활 속 거리두기'로 전환함에 따른 대국민 안내문을 발표했다.대한약사회는 ""KF94와 KF80은 황사 등 미세먼지 차단 효과에 따른 구분""이라며 ""코로나 19와 같은 침방울을 통한 감염 전파 상황에서는 효과에 큰 차이가 없다""고 밝혔다.이어 ""코로나-19 감염환자를 돌보는 보호자나 의료진이 아닌 일반인이 보건용 마스크를 착용하는 경우 KF80 사용으로 감염 예방 목적을 충분히 달성할 수 있고 오히려 호흡하기 쉬워 장시간 착용 시에는 KF80이 적합하다""고 덧붙였다.사진은 생활 속 거리두기 전환에 따른 대국민 안내 포스터. 2020.5.6[대한약사회 제공. 재판매 및 DB 금지]photo@yna.co.kr",사회
"‘물리적 거리 두기’가 ‘생활 속 거리 두기’로 전환된 첫날인 6일 지하철·사무실·쇼핑몰 등에는 좁은 공간에 사람들이 빽빽이 들어차 있거나 마스크를 쓰지 않은 모습도 곳곳에서 눈에 띄었다.서울 마포구에서 일하는 직장인 이모씨(33)는 “출근 지하철은 평소처럼 사람이 많아 다닥다닥 붙어서 가야 했다”며 “회사 사무실 배치도 여전히 ‘닭장’처럼 빼곡해 1m 거리 두기는 불가능하다”고 말했다. 직장인 박모씨(33)도 “사무실에 마스크를 쓴 사람이 한 명도 없다”며 “인사팀 직원이 방역책임자로 지정된 것으로 아는데, 공지 메일은 수시로 보내지만 마스크를 안 쓴다고 지적하는 일은 없다”고 했다.중앙재난안전대책본부(중대본)가 지난 3일 내놓은 ‘생활 속 거리 두기 세부지침’에 따르면 사무실에서는 ‘다른 사람과 2m(최소 1m) 이상 거리 두기’를 해야 하며, ‘실내 다중이용시설 이용 시에는 마스크를 착용’해야 한다. 직장 내 방역관리자는 매일 노동자의 체온을 검사하고, 방역지침을 잘 지키는지 확인해야 한다. 하지만 이 같은 지침이 잘 지켜지지 않고 있는 것이다.주부 이모씨(36)는 “쇼핑몰과 야외 어린이 놀이시설에 갔는데 사람이 너무 많고, 마스크를 안 쓴 어린이가 많아 볼일을 포기하고 그냥 집으로 돌아왔다”고 말했다.정부가 발표한 ‘생활 속 거리 두기’ 지침은 크게 개인방역 5대 지침과 4개 보조수칙, 집단방역 5대 핵심수칙과 31개 세부지침으로 구성돼 있다. 장례식장에서 조문객을 맞을 때는 악수보다 목례로 인사하라는 등 구체적 내용이 명시되기도 했지만, 그렇지 않은 경우가 더 많다.반면 독일 방역당국이 코로나19 확산 방지를 위해 지난 3월23일 문을 닫았던 미용실을 최근 열기로 하면서 내놓은 세부지침은 매우 구체적이다.독일 방역당국 지침에 따르면 대기손님으로 가득 차는 것을 피하기 위해 미용실은 무조건 예약제로 운영해야 한다. 비말 전파를 막기 위해 헤어드라이어 사용은 최소화하고, 머리스타일에 대한 논의도 거울을 통해 떨어져 하라고 돼 있다.김강립 중대본 1총괄조정관은 “세부지침을 계속 추가 보완하겠다”며 “(현재 31개에서) 40개 정도까지 늘리는 것을 추가로 검토하고 있다”고 말했다. 또 “생활방역위원회의 논의를 거쳐 5월 말쯤에는 개정판을 발표하겠다”고 설명했다. 정부는 생활 속 거리 두기 지침 중 반드시 지켜야 하는 사항에 대해서는 국회 논의를 통해 법제화하는 방안도 고려 중이다. 하지만 추가 수칙 발표나 국회 법제화까지 최소 한 달은 걸리는 셈이다.김창엽 서울대 보건대학원 교수(시민건강연구소 소장)는 “세부지침을 계속 추가하는 것도 필요하지만, 각 사업장에서 그 지침을 실제로 적용할 수 있도록 조언하고 점검하는 지원 시스템을 빨리 만드는 것이 중요하다”고 지적했다.물리적 거리 두기 기간 동안 구청이 ‘운영 자제 권고’가 내려진 시설을 수시로 점검하고 개선사항을 내놓은 것처럼, 생활 속 거리 두기 또한 지원 체계를 마련할 필요가 있다는 것이다. 김 교수는 “직장 내 방역의 경우 노조가 없고 직원들 목소리도 반영되기 어려운 회사가 현실적으로 많을 텐데, 노동자들의 목소리를 최대한 반영해야 현실성 있는 실행 방안이 나올 수 있다”고도 덧붙였다.이혜인 기자 hyein@kyunghyang.com©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지",사회
"“코로나19에 걸렸다 나은 친구는 아무래도 좀 멀리하게 될 것 같아요. 재발 가능성 때문에요. 그리고 누가 기침만 해도 ‘쟤 코로나다’라고 놀리거나, 코로나 때문에 왕따당하는 학생이 생길 수도 있어요.” 올해 고등학교에 진학한 이모양(16)은 “등교가 시작되면 아무래도 전보단 예민한 상태로 학교에 다닐 것 같다”며 이같이 말했다.이양뿐만이 아니다. 6일 등교개학 시작을 약 일주일 앞두고 학생들 사이에선 ‘코로나 왕따’ 우려가 번지고 있다. 이날 사회관계망서비스(SNS)에선 ‘등교개학의 문제점’이란 게시물이 공유되고 있는데, 여기에는 이동수업이나 급식시간 중 감염 우려뿐 아니라 ‘따돌림’ 항목도 포함돼 있다.‘선풍기 이용 금지’ ‘화장실도 무조건 참아야 함’ 등 일부 내용은 부정확한 정보를 바탕으로 작성된 것이지만, ‘코로나 왕따’는 코로나19 환자에 대한 사회적 낙인과 배제가 학교에서도 발생할 수 있다는 현실적인 우려다. 구체적으로는 ‘천식·감기 등의 학생들이 기침하면 시선이 쏠릴 것’ ‘개학했다 한 명이 코로나 걸려서 전염되면 왕따 가능성 있음’ 등이 담겼다.특히 천식 등 호흡기 기저질환을 앓고 있는 학생들은 누구보다 걱정이 크다.고3 전모양(18)은 “오랜만의 등교를 앞두고 조금 설렌다. 온라인수업보다는 직접 수업을 듣는 게 이해도 더 잘된다”면서도 “천식이 있어 기침을 조절할 수 없는데, 기침하면 친구들의 시선이 좋지 않을 것 같다”고 우려했다. 역시 천식이 있는 중2 김모양(14)은 “호흡곤란이 자주 와서 장시간 마스크를 쓰면 답답하고 어지러운데, 잔기침을 할 때 쏠리는 시선이 불편할 것 같다”고 말했다.사실상 ‘새 학기 시작’이나 마찬가지인 등교개학 이후 어떻게 새 친구를 사귀어야 할지도 고민거리다. 이모양(17)은 “코로나는 언제 어디서 걸리는지 모르기 때문에 학교에 모여 있다 보면 나도 의심환자가 될까 우려된다. 선생님 말씀을 안 듣고 ‘코로나 옮긴다’고 장난치는 애들도 있을까 걱정”이라고 말했다.김서영·박채영 기자 westzero@kyunghyang.com©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지",사회
"1977년 메이저리그 LA 다저스의 시즌 마지막 경기였다. 신인 타자 더스티 베이커(현 휴스턴 애스트로스 감독)가 휴스턴과의 경기에서 시즌 30호 홈런을 때렸다. 다저스 사상 처음으로 4명의 30홈런 타자를 배출하는 순간이었다. 기념비적인 홈런을 치고 홈으로 들어오는 베이커를, 같은 신인 동료 글렌 버크가 기다리고 있었다. 버크는 오른손을 번쩍 들었고, 돌아오던 베이커가 오른손을 함께 들어 ‘짝’ 마주쳤다. 역사적인 ‘하이파이브’가 탄생하는 순간이었다.이후 많은 스포츠에서 하이파이브는 성공적인 플레이에 대한 축하 세리머니로 자리 잡았다. 남녀 스포츠를 가리지 않고, 두 손을 마주치는 장면은 ‘함께’라는 의미를 더한다. 만화 속 강백호와 서태웅의 하이파이브 장면은 두 주인공이 한마음 한뜻으로 뭉쳤다는 것을 상징적으로 보여주며 많은 팬들의 가슴에 박혔다.하지만 코로나19는 ‘하이파이브’의 멸종을 가져왔다. 포스트 코로나19 시대에서 맨손 접촉은 금기시된다. 지난 5일 개막한 프로야구 KBO리그는 코로나19 대응 매뉴얼에 ‘하이파이브 금지’를 명문화했다. 홈런을 치고 들어올 때 주루코치와, 홈에서 기다리는 동료와 자연스레 나누는 하이파이브는 탄생 때처럼 야구의 상징과도 같은 장면이지만 더 이상 보기 어렵다. 코로나19 바이러스의 절멸이 선언되더라도 맨손 접촉 금지의 트라우마가 생기는 상황에서 하이파이브는 역사에만 남을 가능성이 높다. 뉴욕타임스는 “스포츠의 상징적 행위인 하이파이브가 사라질 수도 있다”고 전했다.하이파이브와 함께 버락 오바마 전 미국 대통령의 시그니처 동작이던 ‘주먹 맞대기’도 사라질 위기에 놓였다. 경기 전 페어플레이를 다짐하는 각종 행사도 사라진다. 축구와 농구, 배구 등 코트를 반으로 나눠 쓰는 대부분의 구기 종목들은 경기 전후 하프라인에 모여 악수를 나누는 것이 기본이었다. 대신 팔꿈치 맞부딪치기가 대안으로 나오지만 이를 바라보는 느낌과 감동은 예전과 사뭇 다르다.하이파이브의 멸종보다 팬들을 더욱 슬프게 하는 건, 좋아하는 선수들에 대한 ‘사인 요청 금지’다. 코로나19 초기, 잉글랜드 프리미어리그 리버풀의 위르겐 클롭 감독은 경기장으로 들어갈 때 팬들이 손을 내밀자 “손 치워”라고 강하게 거부했다. 당시까지만 해도 팬들로부터 펜을 건네받는 행위가 금지되는 수준이었지만, 이후에는 아예 2~3m 이내 접근 금지가 명문화됐다.사인 요청을 위한 접근이 원천 봉쇄된다. KBO리그 롯데는 고가의 유니폼 구매 고객 대상으로 ‘사인을 대신 받아드립니다’ 이벤트를 벌이지만 기다렸다가 ‘나만의 사인’을 ‘직접’ 받는 것과 의미가 상당히 다르다. KBO리그 구단 관계자는 “코로나19 이후 보다 안전한 사인 문화를 위한 검토가 필요하다”고 말했다.이용균 기자 noda@kyunghyang.com©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지",사회
"6일 등교수업을 앞둔 경북 한 학교의 보건실에는 손소독제, 마스크 등 방역물품이 상자째 쌓여 있다. 여러 차례 연기됐던 만큼 학교에서는 모의훈련까지 하면서 등교수업을 준비하고 있다.하지만 코로나19가 완전히 종식된 것은 아니기 때문에 교사와 학부모는 여전히 안심하기 어려운 상황이다.교사 ㄱ씨는 학생 600여명이 있는 중학교에서 근무한다. 이날도 동료 교사들과 회의를 하며 눈에 띄는 문제점을 하나씩 해결해 나갔지만, 학생들이 방역지침을 잘 따라줄지 걱정이다. ㄱ씨는 “학생들이 마스크를 계속 잘 쓰고 있을지, 마스크를 까먹고 안 가져오는 학생도 있을 텐데 학교에서 마스크를 충분히 나눠줄 수 있을지도 염려된다”고 말했다.코로나19로 늘어난 방역업무를 나눠 맡는 것도 문제다. 배정옥 교사(전국보건교사노조 위원장)가 근무하는 학교는 보건실 옆의 운영회의실을 ‘일시적 관찰실’로 지정했다. 증상이 있는 학생을 다른 학생과 분리해두기 위해서다.하지만 아직 일시적 관찰실을 관리할 교사는 지정하지 못했다. 배 교사는 “보건교사가 관리를 맡으면 다른 학생들을 돌볼 수가 없고, 의심증상 학생이 확진 판정을 받으면 보건실을 폐쇄하는 상황이 올 수도 있다”며 “학교 내에서 업무 분담이 잘돼야 하는데 지침상으로는 누가 어떤 역할을 해야 하는지 명확하지 않다”고 말했다.보건교사가 아예 없는 학교도 있다. 지난 1일 기준으로 전국 1만1943개 초·중·고등학교와 특수학교에 배치된 보건교사는 1만202명으로 1741개 학교(14.6%)에는 보건교사가 없다. 보건교사에 간호사 등을 더한 ‘보건인력’이 없는 학교는 전체의 6.2%인 741곳이다.이윤경 참교육학부모회 서울지부장은 “아이들이 마스크를 쓰고 6~7교시를 버틸 수 있을지 모르겠다”며 “몸이 안 좋은 학생도 있고, 같이 사는 가족 중에 환자나 임산부가 있는 학생도 있다. 등교수업에 선택권이 있어야 한다”고 말했다.박채영 기자 c0c0@kyunghyang.com©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지",사회
"(서울=뉴스1) 이상학 기자 = 경찰이 지적장애를 갖고 있는 또래 학생을 때려 중상을 입힌 혐의로 중학생 2명을 검찰에 송치했다.서울 강동경찰서는 최근 중학생 A군을 공동폭행 혐의로 구속해 검찰에 송치했으며, 같은 혐의를 받는 B군을 불구속 송치했다고 6일 밝혔다.이들은 지난달 서울 강동구 한 골목 주차장에서 피해 학생을 폭행한 혐의를 받고 있다.지적장애를 앓고 있던 것으로 알려진 피해 학생은 머리 등을 다쳐 병원으로 옮겨져 수술받은 것으로 전해졌다.당시 현장에 다른 학생들도 있었지만, 경찰은 A군과 B군만 폭행에 관여한 것으로 보고 있다.이들은 경찰 조사에서 피해 학생이 자신들을 모욕하는 말을 해 화가 나서 때렸다고 진술한 것으로 알려졌다.shakiroy@news1.kr© 뉴스1코리아( news1.kr ), 무단 전재 및 재배포 금지",사회
